""	"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0001503"	"BP"	"GO:0001503"	"ossification"	"160/4529"	"429/18614"	1.00726533435975e-09	1.09957725120917e-06	8.66105369103117e-07	"56998/9249/1969/10269/79639/126820/6272/1435/1893/1513/7286/103/7059/4209/4921/5087/51430/1660/5743/3192/130497/51374/51232/6546/2274/2736/7130/1290/4664/23314/659/3488/5468/8994/1230/5364/7474/285313/6474/344901/202018/3516/5978/6696/658/5530/166929/51176/2247/6423/56172/81792/202151/5734/3572/1462/4208/84059/4015/2201/1836/2296/654/3400/7124/1192/1432/55603/5167/56975/3569/2737/3486/1956/51119/3082/1021/1278/1749/5764/50617/55787/54880/91851/27316/55790/649/6781/1052/6591/4325/115908/8840/5747/4882/26578/5727/55151/8519/10984/3611/55366/90993/4192/2101/10413/25805/22943/1959/5552/1305/9562/7421/7480/2735/490/338773/3183/4323/5587/10979/3091/79697/207/26585/22801/8482/11173/645811/64131/4313/51741/2303/6348/4077/1277/10140/9902/8313/6662/2194/8792/596/650/182/6238/58476/8200/23051/1051/655/22904/5566/3727/54795/6320/83999/10766/79879/1291"	160
"GO:0043161"	"BP"	"GO:0043161"	"proteasome-mediated ubiquitin-dependent protein catabolic process"	"163/4529"	"439/18614"	1.02700241395626e-09	1.09957725120917e-06	8.66105369103117e-07	"118424/10277/127544/5690/5710/5692/2629/56893/27252/64326/51514/80232/9781/28951/150684/57162/7844/64795/23190/339745/10213/54431/7341/55139/5707/10425/9861/26043/10296/6047/7466/26234/29945/7345/23321/57630/10299/23194/6502/1601/1161/6880/324/7320/153769/81545/23197/821/255488/3077/23607/2729/26235/4121/5071/5689/90637/54476/223082/5683/57154/222235/4189/857/6907/80311/29978/6451/7319/10134/7993/11160/6386/55284/11059/25897/10221/90865/10210/25853/7415/29979/246184/5695/3309/11253/5719/5682/258010/84447/10524/55298/51322/8945/8078/196394/120892/7480/4193/26259/10206/26224/5693/80344/25831/122773/23588/9147/114088/5706/6815/5684/6400/51676/122416/9529/207/9112/197131/4130/8554/5371/5685/55829/146330/90864/51283/9683/267/5713/84937/7326/79018/7126/5717/5691/5709/79089/5705/64750/8313/5718/55666/1453/23327/9491/55741/11047/54994/10297/6449/5886/79016/5714/22933/126433/55101/7353/84861/84164/80020/79734/27351"	163
"GO:0016241"	"BP"	"GO:0016241"	"regulation of macroautophagy"	"73/4529"	"159/18614"	2.16838449395514e-09	1.98995742702398e-06	1.56743221991615e-06	"65018/83667/533/5563/57535/2773/9554/2629/56893/149371/79443/523/55254/5290/3064/7345/836/291/112574/9140/7416/8992/10919/9474/25851/155066/1020/10013/11152/29978/665/51606/245972/8767/528/340371/203228/29979/10558/90678/26086/55626/7405/143686/5049/9638/10133/51322/5599/9559/9531/664/120892/1634/84749/10206/23256/58533/22863/3091/9517/207/84219/527/23274/7157/140775/10241/55062/4864/27131/5566/529"	73
"GO:0042060"	"BP"	"GO:0042060"	"wound healing"	"161/4529"	"439/18614"	3.59945251800613e-09	2.89036037195893e-06	2.27665371763888e-06	"2048/5051/8613/6814/389/4853/6281/375033/50848/7391/4921/5321/1465/11009/6868/6382/7039/2677/3552/2191/8837/5270/55207/5468/5894/7048/7474/25978/5627/131566/90102/4638/5291/5359/5028/5912/11235/5290/1609/55330/10855/5530/308/2247/836/3572/100506658/2149/2150/4015/1839/2246/5159/309/2162/7124/1192/4855/1432/1026/5754/22875/667/135228/7128/5154/3569/358/3315/7980/5054/857/7076/94121/2316/65991/91782/3084/5327/4067/10565/8840/5747/5339/23189/90865/51510/4882/301/2776/7046/54566/7099/6812/1289/10077/6609/3611/11234/960/9066/5547/10413/4321/4162/84959/653145/5592/9060/59/26509/81029/79602/928/3678/1606/2004/160851/2159/84962/10979/3091/7043/5265/7301/26258/302/7168/51330/18/79001/146206/170692/2303/1398/60681/3690/1277/8526/5578/114897/84034/57132/9525/5055/55612/7056/10398/6431/2778/1265/6915/558/7040/5329/348/2828/2909/3053/89781/4627"	161
"GO:0030133"	"CC"	"GO:0030133"	"transport vesicle"	"156/4724"	"425/19518"	4.070508723045e-09	3.73977988929759e-07	2.83864424107085e-07	"127262/9341/23095/23673/7805/553115/5538/54432/5142/6272/388662/9554/9900/11311/51107/6700/23557/5872/1314/23385/8674/10228/1604/149111/5664/163882/90411/5861/7039/10618/54910/26154/5798/130340/56947/4735/3708/9922/5868/523/7879/9276/4311/27333/53834/7466/2555/22872/10427/55435/9871/1363/64924/5122/5066/23176/1809/972/1212/3134/3105/3133/3107/3106/3127/3123/3117/3113/3115/26503/57221/8676/134957/94120/3482/273/261729/10282/1174/83992/50617/155066/5799/1183/9367/94122/6853/538/94121/23157/6845/528/90865/10497/6836/57586/6809/9066/81876/5870/4135/54843/23621/4900/56681/26509/143187/4074/80763/10059/120892/9498/22818/117177/9182/490/8906/10484/114088/10972/11161/85439/9321/9950/11261/567/26258/23312/29106/83464/192683/5045/55784/9143/527/79641/112476/1731/6645/164/84937/9501/51226/201294/9144/201475/80023/10483/79953/5802/9230/10567/529/8218/162/11015"	156
"GO:0010977"	"BP"	"GO:0010977"	"negative regulation of neuron projection development"	"66/4529"	"143/18614"	9.6865195088194e-09	6.9140223694062e-06	5.44597652384735e-06	"2048/9860/29956/10500/23557/80128/64218/26052/8934/10505/54910/2043/25791/129807/7869/7474/5793/3280/2580/952/9353/6696/9037/1601/7025/57556/6695/1809/9856/8831/10371/1020/10013/2316/2664/157285/23189/1902/23258/349667/7431/22943/22891/2288/120892/6049/23111/1948/382/9529/567/80031/8482/5780/10509/112755/5048/9423/5376/1630/10501/5802/10498/348/83999/27124"	66
"GO:0098791"	"CC"	"GO:0098791"	"Golgi apparatus subcompartment"	"140/4724"	"378/19518"	1.31559015367303e-08	1.07439862549964e-06	8.15512025083866e-07	"9341/54432/8613/79971/57535/6272/653519/51107/55204/5872/57198/2629/10067/84283/8703/8674/27252/10228/23057/8934/338382/163882/55676/10618/9648/65977/4430/57574/79586/130340/64090/55773/2804/339122/27032/4311/27333/55300/10396/64083/64924/5122/5066/4124/7045/81555/972/1212/11282/63971/3105/3127/3123/3117/3113/3115/57531/10981/51429/3482/2852/54103/9179/1174/8985/415/9367/84679/286451/538/4952/10134/2316/6845/55790/10565/157769/6482/83696/5125/56623/23258/5286/738/116985/5870/23682/9159/23621/9712/10133/221079/55454/259230/170384/3363/55361/23268/143187/4074/120892/92979/51643/8549/23011/400/5587/23256/11154/122553/4247/51062/2530/55334/9950/25963/79895/23431/10066/192683/5045/64131/23062/6483/164/3996/10040/55062/11031/10079/54760/113178/56927/1785/8218/162/26088/25776/9980/25825"	140
"GO:0031345"	"BP"	"GO:0031345"	"negative regulation of cell projection organization"	"83/4529"	"195/18614"	1.47840151104929e-08	9.49725130698061e-06	7.48071164590938e-06	"832/2048/9860/29956/10500/23557/80128/64218/26052/8934/10505/54910/2043/25791/129807/7869/7474/5793/79598/3280/2580/952/9353/6696/5530/9693/9037/1601/7025/57556/6695/1809/9856/8831/2534/10371/1020/10013/5365/2316/2664/10251/157285/23189/347240/1902/23258/349667/10413/7431/22943/22891/2288/120892/23329/117177/6049/23111/1948/4776/382/51466/9529/567/80031/8482/5780/10509/9738/112755/5048/9423/5376/3675/1630/10501/5802/115704/1785/10498/348/83999/27124"	83
"GO:0005769"	"CC"	"GO:0005769"	"early endosome"	"153/4724"	"423/19518"	1.77578907687704e-08	1.30520497150462e-06	9.90703379731401e-07	"9341/26119/23673/3633/10269/79971/6272/5906/51107/81609/23623/23385/9910/10228/8934/5664/9784/30845/129285/150684/5861/54520/10254/65977/4430/66008/2043/130340/57590/92737/23180/5868/54918/2042/2047/84343/4311/23355/79572/4241/3064/57537/55300/323/55435/287/2149/2150/4012/115123/9856/3077/3134/3105/3133/10211/3107/3106/10981/3482/2852/29886/23161/10457/1956/261729/219285/22853/9179/1174/222236/857/1183/538/1730/4952/93380/286410/23516/10947/100533105/64089/245972/55353/157680/6505/301/7099/57720/10807/10410/54472/56674/11234/7251/10938/7405/23682/23621/8027/22943/9559/26985/55361/10935/4891/4035/23011/23074/55198/51699/23250/58533/382/63894/79890/123606/81614/54551/57617/567/9101/4644/302/5371/8120/645811/9516/23062/79874/3038/164/9100/3996/4642/8639/11031/27131/79953/90203/10079/56937/57403/8612/10347/8943/6455/80700/23646/348/162/26088/9980"	153
"GO:0015629"	"CC"	"GO:0015629"	"actin cytoskeleton"	"172/4724"	"489/19518"	2.35303328343669e-08	1.57225405756906e-06	1.1934044404033e-06	"6339/54751/27129/832/2275/6513/4919/91624/2633/1266/55917/829/57530/7170/10456/4921/27252/27/1660/10092/25802/824/56776/6868/22979/10602/23433/119/822/7456/4430/9262/58538/79083/4735/5868/8850/10015/2317/2042/4638/8997/5357/4026/10296/118/9948/80306/22998/55752/10611/79642/171024/51778/11275/23022/27295/8470/4651/1495/1809/11346/56940/10211/23607/55166/2534/2037/51429/7430/79778/6624/273/55915/5782/10095/83992/8976/800/136319/7791/357/57477/1730/154796/5358/2316/10395/64236/10671/5747/11258/7169/301/7111/25861/81873/3611/23075/55742/55761/4647/1410/83700/6840/11155/59/9124/9644/3983/9531/118611/101/23012/160851/3936/3183/1073/10979/55860/6710/87/26037/9578/64423/7082/90427/57617/29767/29766/4644/83660/7168/9051/79834/92922/29109/146206/23406/1535/1398/342527/9423/23164/3996/92521/4642/80179/201191/140735/9368/1000/9480/10398/57403/1265/10297/6455/4854/23094/126432/558/2909/11133/91663/29844/7625/23384/10634/4627/11078/3005"	172
"GO:1905369"	"CC"	"GO:1905369"	"endopeptidase complex"	"46/4724"	"90/19518"	3.05802345582165e-08	1.87303936669076e-06	1.4217126592855e-06	"8547/5690/10026/5710/5692/824/10213/5707/9861/5696/5698/5689/90637/5683/3315/9690/7415/29979/5711/5695/5719/5682/8738/2159/5693/5720/5721/5706/5684/197131/5685/5713/94005/5717/5691/5709/5705/5718/9352/9491/7056/128869/11047/5886/5714/5329"	46
"GO:0005770"	"CC"	"GO:0005770"	"late endosome"	"113/4724"	"296/19518"	5.10416350634348e-08	2.8858155208942e-06	2.19045073551583e-06	"10269/114883/54432/57535/10542/5906/1520/28956/23057/127829/338382/149371/9741/284996/55240/55686/55207/79443/57406/25978/114885/7879/11342/3592/5337/23355/79572/3064/950/55435/9693/201931/153129/2149/1393/972/309/8878/3127/3123/3108/51534/3482/5575/54664/1956/1183/9367/10013/538/79589/3920/6845/137492/23516/91782/7274/64089/55529/55353/6505/51510/1317/10581/10410/7251/220002/91056/219931/7405/23621/653145/143187/404636/4074/120892/4891/88455/51699/7178/63894/57617/7782/84888/4644/302/9399/21/23274/9516/1783/22879/83547/4077/9842/23531/5573/201294/57132/29919/4864/114876/23327/9525/57403/126321/80700/3643/684/23646/348/8218/3454"	113
"GO:0032432"	"CC"	"GO:0032432"	"actin filament bundle"	"41/4724"	"78/19518"	6.13544397083506e-08	3.22110808468841e-06	2.44495135679893e-06	"54751/2275/4919/7170/2317/4638/5357/4026/22998/55752/10611/171024/23022/27295/11346/79778/6624/7791/57477/5358/2316/64236/5747/3611/1410/11155/59/9124/3983/9531/3936/10979/87/7168/29109/1535/10398/1265/23094/10634/4627"	41
"GO:0016032"	"BP"	"GO:0016032"	"viral process"	"152/4529"	"426/18614"	7.61521874852122e-08	4.44728774913639e-05	3.50300062431976e-05	"8764/1969/8547/3065/55223/80149/3725/5586/10542/7812/9869/103/3428/50848/7391/9213/6041/1660/2494/1604/5629/5610/5861/1803/55207/10015/201626/25978/55254/3693/7879/339122/5359/185/286827/131578/1487/5978/3576/950/51176/4124/9140/1436/972/10318/821/11282/4245/7124/3123/6732/9474/51534/6993/3482/5071/1956/222256/857/9189/2332/3054/1508/137492/91782/11059/6482/4061/51510/7415/5125/9830/2040/90678/11253/10581/8519/10410/117854/85363/10346/6609/440026/7251/63901/6520/81876/5091/219931/7405/4684/5818/25833/9712/81603/8661/1488/55196/904/3678/8091/6404/4940/54737/3356/10206/1948/3981/4247/2530/22938/8812/10572/440275/57617/7301/290/5045/4261/9683/6483/22879/7157/6347/6348/6351/3690/10241/57132/4864/596/9525/6317/55741/682/3643/55337/6597/5886/684/7538/558/5817/348/6598/22880/3956/9582/27350/60489/104"	152
"GO:0042641"	"CC"	"GO:0042641"	"actomyosin"	"40/4724"	"76/19518"	8.46221632479698e-08	4.00095447817487e-06	3.03688632070559e-06	"54751/2275/4919/7170/8850/10015/2317/4638/4026/22998/55752/10611/171024/23022/27295/11346/79778/6624/7791/57477/64236/5747/3611/11155/59/9124/3983/9531/3936/10979/87/9578/7168/29109/1535/10398/1265/23094/10634/4627"	40
"GO:0031252"	"CC"	"GO:0031252"	"cell leading edge"	"150/4724"	"422/19518"	8.70956076881604e-08	4.00095447817487e-06	3.03688632070559e-06	"57449/1969/832/6548/8543/5586/3749/55917/51177/8394/117145/6282/6277/5872/10456/57147/10092/134/375/149371/6868/29959/55704/72/822/23550/1803/2191/7456/55845/5868/378/23150/90102/57514/4638/23129/26084/5290/9079/323/2555/11275/23022/57630/8470/2195/4651/100506658/5921/84059/324/4163/1495/64411/1809/56940/10211/23607/667/5796/51429/7430/2852/6624/273/1956/3984/1021/8976/5420/1020/10013/538/154796/2556/6845/66036/10395/23362/23189/89846/7099/56623/64787/3611/23075/55742/960/6809/7431/54518/10006/59/51196/3983/57698/59338/3678/117177/490/55785/55198/6249/221178/9107/10810/3936/8874/84962/382/10979/23224/9495/87/51466/9578/207/2567/54822/4644/83660/7168/1464/9051/146206/9780/10381/5048/4642/4137/3690/9368/1000/55612/27131/57468/57403/10347/10297/23396/3643/5141/1785/126432/11133/3748/91663/27124/4627"	150
"GO:0048771"	"BP"	"GO:0048771"	"tissue remodeling"	"76/4529"	"181/18614"	1.16335944613425e-07	6.22785090163868e-05	4.90549899786609e-05	"1969/23154/3953/4853/1513/4921/51430/1999/183/7107/2034/3552/659/3488/5468/7879/952/3516/6696/5530/1909/4883/2149/4208/1436/2296/9474/2697/7128/3569/10457/857/5764/6522/7076/538/2316/55636/115908/4882/1200/55366/4192/9066/56834/84959/3988/101/7421/4193/338773/4323/3091/26585/1464/79705/645811/4313/2303/54849/7157/10609/9842/3690/1636/5578/284266/8792/182/8200/54/558/7040/613/3976/861"	76
"GO:0001725"	"CC"	"GO:0001725"	"stress fiber"	"37/4724"	"69/19518"	1.36439808320778e-07	5.57129217309844e-06	4.22883616432821e-06	"54751/2275/4919/7170/2317/4638/4026/22998/55752/10611/171024/23022/27295/11346/79778/6624/7791/57477/64236/5747/3611/11155/59/9124/3983/9531/3936/10979/87/7168/29109/1535/10398/1265/23094/10634/4627"	37
"GO:0097517"	"CC"	"GO:0097517"	"contractile actin filament bundle"	"37/4724"	"69/19518"	1.36439808320778e-07	5.57129217309844e-06	4.22883616432821e-06	"54751/2275/4919/7170/2317/4638/4026/22998/55752/10611/171024/23022/27295/11346/79778/6624/7791/57477/64236/5747/3611/11155/59/9124/3983/9531/3936/10979/87/7168/29109/1535/10398/1265/23094/10634/4627"	37
"GO:0070482"	"BP"	"GO:0070482"	"response to oxygen levels"	"123/4529"	"333/18614"	1.56795537581842e-07	7.74811179558273e-05	6.10296477049324e-05	"57085/5351/65018/6548/6513/205/23576/405/8751/4000/7391/4720/4921/5743/134/824/5664/6262/56776/6868/1788/6546/2034/3552/1803/5163/8837/2043/3708/7428/10533/5468/7048/8994/523/26355/5291/5352/952/6649/3516/5978/1909/2982/836/5562/5066/5159/7124/51167/100133941/10370/6648/5154/358/51142/857/29923/5165/538/4204/285/4017/4824/6781/665/5327/5423/4609/3297/6505/29979/1902/210/2021/133/5024/572/2977/1410/84890/219736/3778/9124/664/101/3709/7009/4891/4193/317/2308/4323/84962/23256/30001/3091/677/5228/7043/207/663/5371/9915/64506/18/4313/8996/8140/1535/7157/1277/1636/596/650/1869/100/655/3727/22933/64344/10587/4538"	123
