""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"NA.14"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.15"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa05323"	"hsa05323"	"Rheumatoid arthritis"	"41/2208"	"93/8464"	0.000120590307057013	0.00335643021308686	0.00245411852958132	"533/3725/1435/1513/3552/3553/6364/523/3576/2919/6374/2921/2920/1437/8992/7124/3127/3123/3117/3108/3111/3113/3115/3569/50617/155066/51606/245972/528/7099/4312/4314/7043/527/6347/6348/8792/54/7040/3589/529"	41
"hsa05215"	"hsa05215"	"Prostate cancer"	"42/2208"	"97/8464"	0.000163745318503647	0.0039838843579822	0.00291289370013196	"5293/1870/4893/148327/10000/7039/7850/5894/5291/5290/51176/56034/5295/6932/5159/1871/1026/5154/1956/367/4824/2260/5327/9134/90993/572/4314/6935/6934/3845/4193/2308/4792/6655/3320/207/7157/2885/596/1869/898/2078"	42
"NA.16"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.17"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa05169"	"hsa05169"	"Epstein-Barr virus infection"	"76/2208"	"202/8464"	0.000176267620485532	0.0039838843579822	0.00291289370013196	"5293/1870/3065/3725/3716/5710/10000/5610/10213/5707/9861/5291/5290/3280/3516/8819/836/6502/5295/1871/3134/3105/3133/3107/3106/7124/3127/3123/3117/3108/3111/3113/3115/1432/1026/896/7128/3569/1021/4067/9134/4609/5719/960/1643/7431/5599/4791/6773/4193/317/4940/9612/4792/5706/22938/207/567/25942/5713/7157/5606/5717/5709/6774/5705/5718/596/1869/11047/7297/898/5714/4793/10454/3454"	76
"NA.18"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa05100"	"hsa05100"	"Bacterial invasion of epithelial cells"	"35/2208"	"77/8464"	0.000178916962184829	0.0039838843579822	0.00291289370013196	"5293/6464/26052/10092/2335/4735/3059/5291/26084/5290/55752/79658/5295/23176/1495/1212/23607/9844/10095/857/8976/23157/5747/53358/81873/391/3611/3678/1731/1398/25759/1785/8218/1399/55964"	35
"NA.19"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa05222"	"hsa05222"	"Small cell lung cancer"	"40/2208"	"92/8464"	0.000208830145792583	0.00435932929342017	0.00318740748841311	"5293/1870/1163/3915/5743/3914/10000/3655/2335/5915/3913/5291/5290/836/6502/5295/1871/1026/3910/3908/1021/3912/1288/9134/4609/5747/7185/1643/317/1284/4792/4149/207/7157/3675/3909/596/1869/3911/898"	40
"NA.20"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa01522"	"hsa01522"	"Endocrine resistance"	"41/2208"	"98/8464"	0.000468842247679615	0.00873182715049587	0.00638444342551227	"5293/1870/3725/4893/4853/6464/10000/109/5894/5291/5290/5295/1839/1871/4855/1432/1026/2852/1956/5747/53358/572/5599/3845/4193/6655/207/115/4313/7157/9611/2885/596/182/1869/8202/2778/25759/10498/5566/4854"	41
"hsa04140"	"hsa04140"	"Autophagy - animal"	"55/2208"	"141/8464"	0.000481175289130819	0.00873182715049587	0.00638444342551227	"5293/64121/5563/4893/338382/10000/5861/10010/8837/3708/10533/5894/64422/7879/22808/5291/5290/5562/5295/9140/5515/8878/58528/9474/26100/3920/116442/1508/9821/203228/55626/9776/572/7405/5599/29982/664/23710/3845/8660/22863/3091/1965/55102/207/440275/11345/81631/140775/55062/596/58476/5566/6237/84335"	55
"hsa05010"	"hsa05010"	"Alzheimer disease"	"129/2208"	"384/8464"	0.000496720706165933	0.00873182715049587	0.00638444342551227	"5293/5690/1435/515/4893/51107/5710/5692/27173/23385/4720/6391/22926/5743/824/5664/10000/6868/5610/5534/3552/3553/10213/57181/7277/5707/4705/3708/5894/776/7474/9861/4710/5291/4311/5290/5530/64116/4717/836/291/6389/5295/324/7416/7280/7124/89953/1347/5689/26100/3569/5683/4708/1020/3028/23516/7976/9821/2776/4702/5695/5719/5682/55626/9776/5331/572/64837/4723/23621/8325/5599/22943/29982/10105/81029/3845/3709/7480/7846/4891/4035/317/488/8660/5693/5706/22863/5684/1965/55334/4707/55102/207/83464/5685/4706/1459/8883/5713/10381/489/1856/5717/5691/5709/4137/516/5705/8313/5718/55062/201266/498/5332/514/11047/374291/10297/3643/5714/348/25825/4535/4536/4537/4539/4538"	129
"NA.21"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa00770"	"hsa00770"	"Pantothenate and CoA biosynthesis"	"13/2208"	"21/8464"	0.000572991636823338	0.00956896033494975	0.00699652946015866	"79717/1806/339896/79646/5167/8876/8875/219/586/51380/80347/80025/587"	13
"hsa05145"	"hsa05145"	"Toxoplasmosis"	"45/2208"	"112/8464"	0.000730989580413855	0.0111922783696681	0.00818344967463916	"3716/2773/3915/3914/10000/3655/3913/3592/836/7124/3127/3123/3117/3108/3111/3113/3115/1432/3910/3908/3459/2770/3912/23643/7099/572/5599/10105/4792/3306/7043/207/4261/146850/23533/5606/6774/3909/596/3911/7297/4793/7040/10454/3460"	45
"hsa04933"	"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"41/2208"	"100/8464"	0.000766769738257035	0.0111922783696681	0.00818344967463916	"5293/3725/4893/183/10000/3552/3553/2335/7048/5333/5291/185/5290/3576/836/5295/7124/1432/3569/1278/5054/1288/7046/5331/5599/51196/3845/2308/1284/7043/207/4313/6347/6774/113026/1277/5578/596/5332/7056/7040"	41
"hsa04218"	"hsa04218"	"Cellular senescence"	"59/2208"	"156/8464"	0.00077072575599511	0.0111922783696681	0.00818344967463916	"5293/1870/5928/204851/4893/83593/824/10000/5534/3552/3708/5894/7048/993/776/22808/5291/5290/3576/5530/291/5295/7416/8878/1871/3134/3105/3133/3107/3106/1432/1026/896/10758/3569/3486/1021/5054/9134/4609/7046/8945/3845/3709/4193/144715/2308/4776/677/7043/207/54822/7157/5606/1869/4773/898/7040/6237"	59
"hsa05205"	"hsa05205"	"Proteoglycans in cancer"	"74/2208"	"205/8464"	0.000875750747430477	0.0121875312350741	0.00891114795631012	"5293/3339/6548/4893/10000/6382/3236/2335/3708/5894/7474/2317/3059/3693/22808/5291/5290/10855/287/817/2247/836/29102/5295/1839/7124/1432/1026/7430/1956/3082/1278/857/2318/2002/2316/7976/2260/6383/4609/5747/5727/7099/960/8325/288/818/51196/27250/81029/3845/3709/7480/3678/4193/10818/1634/6655/3091/207/4313/7157/6774/3690/1277/5578/2885/5566/7040/9138/5329/6237/54776/7074"	74
"hsa04931"	"hsa04931"	"Insulin resistance"	"43/2208"	"108/8464"	0.00117980890873905	0.0157622470207538	0.0115248701822089	"5293/6195/6513/5792/5563/5565/200186/148327/183/10000/2673/5291/5290/5562/5295/9945/7124/6196/3569/51422/6197/27330/79660/10999/90993/1374/5599/10724/22877/2308/9882/8660/90673/5106/4792/5836/207/6774/9021/5509/3643/2997/7376"	43
"hsa05211"	"hsa05211"	"Renal cell carcinoma"	"30/2208"	"69/8464"	0.00124636616951274	0.0160110115622021	0.0117067591630346	"5293/6513/3725/5906/4893/405/5546/2271/10000/2034/7039/7428/5894/5291/5290/5295/1026/3082/6921/572/3845/6655/3091/7043/207/9915/1398/2885/7040/1399"	30
"hsa05213"	"hsa05213"	"Endometrial cancer"	"26/2208"	"58/8464"	0.00150939962046745	0.0186718323420789	0.0136522694716744	"5293/4893/10000/5894/5291/5290/51176/5295/324/6932/1495/1026/1956/2002/4609/3611/1643/572/6934/3845/6655/207/7157/8313/2885/10297"	26
"hsa04072"	"hsa04072"	"Phospholipase D signaling pathway"	"55/2208"	"148/8464"	0.00182346646797476	0.0217513500108418	0.0159039180665468	"5293/8613/4893/8394/6464/26052/5321/375/183/10000/109/5894/22808/5291/185/5337/5290/1609/3576/56034/5295/2149/5159/2534/2911/56895/5154/1956/2846/53358/1902/5331/9846/3845/1606/160851/382/6655/207/115/146850/23533/8526/5578/2885/5332/2778/8612/25759/23396/3643/1785/6237/27128/56894"	55
"hsa04330"	"hsa04330"	"Notch signaling pathway"	"27/2208"	"62/8464"	0.00208275922664833	0.0239876407482946	0.0175390250665123	"3065/4853/51107/23385/5664/6868/8850/3280/1487/3516/55534/9794/4855/23462/23220/84441/1488/196403/9612/22938/83464/342371/1856/182/79816/7089/4854"	27
"hsa04668"	"hsa04668"	"TNF signaling pathway"	"44/2208"	"114/8464"	0.00216155026011867	0.0240652595626546	0.0175957775560538	"5293/3725/1435/148327/5743/10000/3553/8837/843/6364/5291/5290/2919/6374/2921/2920/836/5295/1437/7124/1432/7128/3569/7185/153090/90993/8986/4314/1326/5599/10059/4323/4792/9252/207/1540/197259/5606/6347/9021/182/1051/3976/10454"	44
"hsa00480"	"hsa00480"	"Glutathione metabolism"	"25/2208"	"57/8464"	0.00266917070067475	0.0287581617427538	0.0210270832786602	"5226/2730/2948/2946/2944/4259/9588/6241/4953/3417/51056/2941/2729/373156/2936/50484/26873/6240/9446/119391/4257/290/3418/2686/2687"	25
"NA.22"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa00230"	"hsa00230"	"Purine metabolism"	"48/2208"	"128/8464"	0.00279274805127729	0.0291493077852067	0.021313077233432	"205/5142/26289/271/58497/29922/159/6241/109/7498/5136/5147/3615/8833/55276/10606/1633/2982/5144/22875/4907/221264/5167/27115/10846/3614/5634/5631/9583/50484/4882/6240/2977/11164/132/9060/144811/51292/122481/122622/5151/4832/115/5198/56953/955/100/5141"	48
"hsa05167"	"hsa05167"	"Kaposi sarcoma-associated herpesvirus infection"	"68/2208"	"194/8464"	0.00324217009594761	0.0316041630458411	0.0231079918898051	"5293/1870/3725/3716/4893/5743/10000/5610/5534/3708/5894/1230/64422/5291/5290/3576/2919/2921/2920/5530/51176/2247/836/3572/5295/1437/6932/1871/3134/3105/3133/3107/3106/100507436/1432/1026/3459/3569/1021/2791/285/4067/4609/5599/6934/9976/3845/3709/6773/7316/4776/4792/54331/22863/3091/207/81631/7157/146850/23533/6774/1869/4773/718/7297/7538/3454/1827"	68
"hsa04540"	"hsa04540"	"Gap junction"	"35/2208"	"88/8464"	0.00331370569295198	0.0316041630458411	0.0231079918898051	"2773/4893/109/7277/3708/5894/2982/56034/5159/7280/2697/2911/5154/1956/2770/2776/1902/5331/2977/5592/3845/3709/7846/3356/6655/7082/5607/115/10381/5578/2885/1453/5332/2778/5566"	35
"hsa04144"	"hsa04144"	"Endocytosis"	"85/2208"	"251/8464"	0.00333468807290584	0.0316041630458411	0.0231079918898051	"832/26119/9829/829/11311/8394/26052/10092/375/30845/23550/10254/7456/9922/5868/7048/10015/378/25978/868/7879/5337/1173/2868/1601/64411/1212/2870/3134/3105/3133/3107/3106/51534/3482/273/1956/57154/10095/857/8976/381/137492/23362/91782/10565/11059/51510/7046/81873/7251/84364/10938/2352/116985/8027/56288/9559/118813/22841/2869/4193/51699/23111/58533/382/3306/9101/5371/64750/11031/57132/23327/9525/27131/84612/57403/23396/6455/9230/1785/58513/8218/157/27128"	85
"hsa05225"	"hsa05225"	"Hepatocellular carcinoma"	"60/2208"	"168/8464"	0.00340643673547988	0.0316041630458411	0.0231079918898051	"5293/1870/2948/2946/2944/4893/6464/4259/10000/7039/5894/7048/7474/5291/5290/51176/5295/324/6932/1871/1026/2941/55274/1956/3082/1021/6604/2002/7976/4609/53358/7046/1643/572/8325/9446/119391/6934/81029/4257/3845/7480/7296/6655/8110/7043/207/1728/1856/7157/8313/5578/2885/1869/25759/10297/6597/7040/10587/6598"	60
"NA.23"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa04151"	"hsa04151"	"PI3K-Akt signaling pathway"	"115/2208"	"354/8464"	0.00359851315550345	0.032483875511842	0.0237512105853997	"5293/1969/5563/3716/5586/1435/4893/8515/4170/117145/200186/148327/1944/7059/3915/3914/5525/10000/7039/3655/3676/2335/1293/5894/3913/9223/3693/256076/5523/5291/5290/2250/6696/2247/56034/5618/9180/5562/3672/5295/2149/1946/5515/2246/1436/5159/1026/896/3910/3908/6446/7058/5154/3569/1956/7532/3082/1021/2791/1278/3912/2846/1288/285/2260/100533105/9134/7534/4609/5747/1902/7099/29941/90993/572/5519/55844/3845/3678/3679/4193/1284/5106/55012/6655/54331/5529/5228/3320/207/2252/22801/3566/7157/146850/23533/1440/672/3690/3675/1277/5578/2885/3909/23239/596/3911/3643/11140/898/2997/5008/3454/1291/1292"	115
"hsa04071"	"hsa04071"	"Sphingolipid signaling pathway"	"45/2208"	"121/8464"	0.00445485202327731	0.0391558046256479	0.0286295199279871	"5293/2773/4893/29956/134/5525/8560/10000/5894/5523/5291/5337/5290/166929/5295/5515/7124/1432/2534/2770/427/2776/1903/10558/6609/5331/9846/5519/5599/56624/259230/55844/3845/171546/55012/5529/9517/207/4363/7157/5578/596/5332/55304/9294"	45
"NA.24"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa05131"	"hsa05131"	"Shigellosis"	"83/2208"	"247/8464"	0.00467141485657185	0.0400064759511538	0.0292515046349438	"5293/64121/3725/10092/824/375/10000/114548/3554/3553/4735/3708/5333/3059/5291/5290/3576/55752/5295/9140/1437/23176/7416/10318/8878/8355/8357/7124/1432/58528/9474/26100/9844/1956/25851/10095/8976/23157/7336/8767/5747/7099/81873/3611/960/5331/837/5599/7321/80201/51196/8945/664/3709/3678/4193/7334/7316/2308/4792/382/22863/87/9252/207/83660/81631/1398/7157/113026/10241/55062/10892/596/5332/10398/718/4793/84335/1399/27128/10454/55964"	83
"hsa04380"	"hsa04380"	"Osteoclast differentiation"	"47/2208"	"128/8464"	0.00491955033914408	0.0410782453318531	0.0300351494389849	"5293/3725/3716/1435/1513/10000/2355/5534/3554/2274/3552/3553/5468/7048/5291/5290/5530/5295/1436/8878/7124/1432/2534/3459/7046/9846/5599/4791/6773/4792/207/1540/1535/3690/2885/9021/8792/140885/4773/7297/54/3727/7040/126014/10454/3454/3460"	47
"hsa04141"	"hsa04141"	"Protein processing in endoplasmic reticulum"	"61/2208"	"174/8464"	0.00509590298473998	0.0415129657781257	0.0303530036575013	"118424/10277/6746/56893/22926/824/56605/5610/23190/54431/55768/7095/7466/22872/10427/133022/9871/10299/821/4121/5071/29978/10134/7991/7993/23471/3301/573/7415/29979/3309/11253/258010/84447/1410/64215/5599/7321/56681/10970/10808/55757/1603/10484/30001/3306/1965/6400/3320/440275/55829/267/7326/55666/596/6238/10483/55741/80700/5886/7353"	61
"NA.25"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa05214"	"hsa05214"	"Glioma"	"30/2208"	"75/8464"	0.00569452060420514	0.0452849971858219	0.033110996996882	"5293/1870/4893/6464/10000/7039/8536/5894/5291/5290/817/5295/5159/1871/1026/5154/1956/1021/53358/1643/818/3845/4193/6655/207/7157/5578/2885/1869/25759"	30
"hsa05166"	"hsa05166"	"Human T-cell leukemia virus 1 infection"	"75/2208"	"222/8464"	0.00598546146525872	0.0459346642663569	0.0335860135827129	"5293/1870/6513/3725/3716/4893/200186/148327/2224/10000/109/5534/7850/3554/8850/7048/5291/5290/1739/4487/29945/5530/291/5295/1437/7416/821/1871/3134/3105/3133/3107/3106/7124/3127/3123/3117/3108/3111/3113/3115/1026/896/9519/3569/2002/5423/9134/4609/7046/246184/90993/10524/3601/5599/1959/4791/3845/4776/4792/7043/207/567/83660/115/7157/4215/1869/4773/5566/23373/898/7538/7040/706"	75
"hsa05134"	"hsa05134"	"Legionellosis"	"24/2208"	"57/8464"	0.00605127313688534	0.0459346642663569	0.0335860135827129	"9554/375/5861/3553/3592/3576/2919/2921/2920/836/7124/3569/3297/7415/7099/81876/56681/4791/664/317/4792/3306/718/23786"	24
"hsa04012"	"hsa04012"	"ErbB signaling pathway"	"33/2208"	"85/8464"	0.00659047741298032	0.0489159879096762	0.0357658657265833	"5293/3725/4893/6464/27/10000/7039/5894/868/5291/5290/685/817/5295/1839/1026/1956/2002/3084/4609/5747/53358/572/5599/818/3845/6655/207/1398/5578/2885/25759/1399"	33
"NA.26"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.27"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.28"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.29"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.30"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.31"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.32"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.33"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.34"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.35"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.36"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.37"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.38"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.39"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.40"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.41"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.42"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.43"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.44"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.45"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.46"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.47"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.48"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.49"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.50"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.51"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.52"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.53"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.54"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.55"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.56"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.57"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.58"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.59"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.60"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.61"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.62"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.63"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.64"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.65"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.66"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.67"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.68"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.69"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.70"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.71"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.72"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.73"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.74"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.75"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.76"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.77"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.78"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.79"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.80"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.81"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.82"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.83"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.84"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.85"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.86"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.87"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.88"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.89"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.90"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.91"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.92"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.93"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.94"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.95"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.96"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.97"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.98"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.99"	NA	NA	NA	NA	NA	NA	NA	NA	NA
