""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-446652"	"R-HSA-446652"	"Interleukin-1 family signaling"	"46/1540"	"153/10899"	2.52283049378382e-07	3.46315822328507e-05	2.80287674955313e-05	"PSMB2/PELI1/IL1R2/IL1R1/IL1A/IL1B/IL36G/IL36B/IL36RN/IL1F10/IL1RN/PSMD14/PSMD1/IRAK2/PSMD6/TNIP2/SQSTM1/PSMB1/PSMA2/PTPN12/RIPK2/IL33/PSMD5/PSMB7/PSMD13/TOLLIP/PSMA1/MAP3K8/MAPK8/BTRC/NFKB2/UBE2N/UBC/NFKBIA/PELI2/PTPN9/PSMA4/PSMD7/PSMD11/PSMD3/MAP3K3/PSMC5/PSMD12/PTPN2/PSMD8/NFKBIB"	46
"R-HSA-69239"	"R-HSA-69239"	"Synthesis of DNA"	"39/1540"	"121/10899"	2.80737631576565e-07	3.53261519733844e-05	2.85909114263501e-05	"RPA2/PSMB2/ORC1/MCM6/ORC4/PSMD14/PSMD1/UBE2E1/PSMD6/MCM2/SKP2/MCM3/PSMB1/PSMA2/MCM7/POLA1/MCM4/CCNE2/CDC26/PSMD5/PSMB7/PSMD13/PSMA1/POLD3/UBE2D1/PRIM1/UBC/RFC3/PSMA4/ORC6/PSMD7/PSMD11/PSMD3/CDC6/PSMC5/PSMD12/PCNA/CCNE1/PSMD8"	39
"R-HSA-9759194"	"R-HSA-9759194"	"Nuclear events mediated by NFE2L2"	"29/1540"	"79/10899"	4.49808710404728e-07	5.22470117470107e-05	4.22856609538372e-05	"PGD/PSMB2/PRDX1/GCLM/PSMD14/PSMD1/PSMD6/SQSTM1/GCLC/PSMB1/MAFK/PSMA2/GSR/PSMD5/PSMB7/PSMD13/TALDO1/PSMA1/BTRC/TXNRD1/UBC/PSMA4/PSMD7/PSMD11/PSMD3/PSMC5/PSMD12/MAFG/PSMD8"	29
"R-HSA-69620"	"R-HSA-69620"	"Cell Cycle Checkpoints"	"73/1540"	"293/10899"	4.88150993202201e-07	5.2650571409666e-05	4.26122784291546e-05	"NUDC/RPA2/PSMB2/CLSPN/ORC1/PPP2R5A/MCM6/ORC4/PSMD14/SPC25/PSMD1/UBE2E1/DYNC1LI1/CDC25A/PSMD6/MCM2/RNF168/NSD2/KIF2A/RAD17/PPP2CA/H2BC4/H2BC5/H4C8/H2BC11/H2BC12/CDKN1A/CENPQ/MCM3/PSMB1/PSMA2/YWHAG/DYNC1I1/MCM7/ERCC6L/MCM4/UBE2V2/CCNE2/YWHAZ/RMI1/CDC26/PSMD5/PSMB7/PSMD13/PSMA1/KAT5/PPP2R1B/H2AX/UBE2D1/MDM2/UBE2N/RAD9B/CLIP1/UBC/RFC3/PSMA4/BLM/PKMYT1/ORC6/DYNC1LI2/PSMD7/CENPN/PAFAH1B1/PSMD11/PSMD3/CDC6/BRCA1/DYNLL2/PSMC5/PSMD12/SEH1L/CCNE1/PSMD8"	73
"R-HSA-9020702"	"R-HSA-9020702"	"Interleukin-1 signaling"	"37/1540"	"115/10899"	5.92584938486999e-07	5.96535504743579e-05	4.82800781462039e-05	"PSMB2/PELI1/IL1R2/IL1R1/IL1A/IL1B/IL1RN/PSMD14/PSMD1/IRAK2/PSMD6/TNIP2/SQSTM1/PSMB1/PSMA2/RIPK2/PSMD5/PSMB7/PSMD13/TOLLIP/PSMA1/MAP3K8/BTRC/NFKB2/UBE2N/UBC/NFKBIA/PELI2/PSMA4/PSMD7/PSMD11/PSMD3/MAP3K3/PSMC5/PSMD12/PSMD8/NFKBIB"	37
"R-HSA-6783783"	"R-HSA-6783783"	"Interleukin-10 signaling"	"20/1540"	"47/10899"	1.89998607702548e-06	0.00017931118601928	0.000145123936541222	"JAK1/PTGS2/IL1R2/IL1R1/IL1A/IL1B/IL1RN/CCL20/CCR1/IL12A/CXCL8/CXCL2/CSF2/IL6/TIMP1/CCL3/CCL4/CSF3/FPR1/LIF"	20
"R-HSA-109581"	"R-HSA-109581"	"Apoptosis"	"49/1540"	"180/10899"	2.67492718477636e-06	0.000237596473471312	0.000192296623004666	"PSMB2/CLSPN/PPP3R1/PSMD14/CFLAR/PSMD1/SATB1/PSMD6/KPNA1/TFDP2/ADD1/CASP3/OCLN/APC/H1-2/PSMB1/PSMA2/YWHAG/STK26/BCAP31/TNFRSF10B/LY96/YWHAZ/PTK2/TLR4/PSMD5/PSMB7/PSMD13/PSMA1/APIP/MAPK8/UNC5B/DNM1L/APAF1/UBC/TFDP1/TJP1/BMF/PSMA4/PSMD7/PSMD11/PSMD3/NMT1/DYNLL2/PSMC5/PSMD12/BCL2/E2F1/PSMD8"	49
"R-HSA-983168"	"R-HSA-983168"	"Antigen processing: Ubiquitination & Proteasome degradation"	"73/1540"	"309/10899"	4.06623092215e-06	0.000331308895538746	0.00026814195031055	"UBE2J2/UBR4/RNF19B/PSMB2/PSMD14/RNF25/PSMD1/ASB1/VHL/ATG7/UBE2E2/UBE2E1/ARIH2/DCAF1/PSMD6/KBTBD8/RNF4/FBXL5/KLHL5/HERC6/HERC5/KLHL2/FBXL7/SKP2/LNPEP/TRIM36/UBE2B/TRIM41/RNF144B/FBXL4/HACE1/PRKN/PSMB1/ZNRF2/PSMA2/SMURF1/UBE3C/UBE2A/LONRF1/UBE2V2/UBE2W/ELOC/WWP1/RNF19A/CDC26/PSMD5/PSMB7/ASB6/PSMD13/PSMA1/UBE2D1/BTRC/UBE2N/UBC/RNF6/UBR1/PSMA4/BTBD1/KLHL25/ASB7/PSMD7/ZNRF1/UBE2G1/PSMD11/PSMD3/TRIM37/PSMC5/PSMD12/SOCS3/NEDD4L/PSMD8/FBXO27/UBE2M"	73
"R-HSA-68867"	"R-HSA-68867"	"Assembly of the pre-replicative complex"	"41/1540"	"143/10899"	4.27176206165002e-06	0.000331308895538746	0.00026814195031055	"PSMB2/ORC1/MCM6/ORC4/PSMD14/PSMD1/UBE2E1/PSMD6/KPNA1/MCM2/H2BC4/H2AC6/H2BC5/H3C8/H4C8/H2BC11/H2BC12/H3C10/MCM3/PSMB1/PSMA2/MCM7/MCM4/CDC26/PSMD5/PSMB7/PSMD13/PSMA1/H2AX/UBE2D1/H2AJ/UBC/PSMA4/ORC6/PSMD7/PSMD11/PSMD3/CDC6/PSMC5/PSMD12/PSMD8"	41
"R-HSA-69306"	"R-HSA-69306"	"DNA Replication"	"50/1540"	"188/10899"	4.38819729190392e-06	0.000331308895538746	0.00026814195031055	"RPA2/PSMB2/ORC1/MCM6/ORC4/PSMD14/PSMD1/UBE2E1/PSMD6/KPNA1/MCM2/SKP2/H2BC4/H2AC6/H2BC5/H3C8/H4C8/H2BC11/H2BC12/H3C10/MCM3/PSMB1/PSMA2/MCM7/POLA1/MCM4/CCNE2/CDC26/PSMD5/PSMB7/PSMD13/PSMA1/POLD3/H2AX/UBE2D1/H2AJ/PRIM1/UBC/RFC3/PSMA4/ORC6/PSMD7/PSMD11/PSMD3/CDC6/PSMC5/PSMD12/PCNA/CCNE1/PSMD8"	50
"R-HSA-195253"	"R-HSA-195253"	"Degradation of beta-catenin by the destruction complex"	"28/1540"	"83/10899"	4.88632602800646e-06	0.00033537965010408	0.000271436579833278	"HDAC1/PSMB2/PPP2R5A/PSMD14/PSMD1/PSMD6/CTBP1/LEF1/APC/PPP2CA/PSMB1/PSMA2/PSMD5/PSMB7/PSMD13/PSMA1/PPP2R1B/BTRC/ZRANB1/CTBP2/UBC/PSMA4/PSMD7/PSMD11/PSMD3/PSMC5/PSMD12/PSMD8"	28
"R-HSA-69202"	"R-HSA-69202"	"Cyclin E associated events during G1/S transition "	"28/1540"	"83/10899"	4.88632602800646e-06	0.00033537965010408	0.000271436579833278	"RBBP4/PSMB2/PSMD14/PSMD1/CDC25A/PSMD6/TFDP2/SKP2/CCNH/CDKN1A/PSMB1/PSMA2/CCNE2/PSMD5/PSMB7/PSMD13/PSMA1/UBC/TFDP1/PSMA4/PSMD7/PSMD11/PSMD3/PSMC5/PSMD12/E2F1/CCNE1/PSMD8"	28
"R-HSA-9604323"	"R-HSA-9604323"	"Negative regulation of NOTCH4 signaling"	"21/1540"	"54/10899"	5.99242096581831e-06	0.000393415463408071	0.000318407356581925	"PSMB2/PSMD14/PSMD1/PSMD6/TACC3/NOTCH4/PSMB1/PSMA2/YWHAZ/PSMD5/PSMB7/PSMD13/PSMA1/UBC/PSMA4/PSMD7/PSMD11/PSMD3/PSMC5/PSMD12/PSMD8"	21
"R-HSA-69002"	"R-HSA-69002"	"DNA Replication Pre-Initiation"	"44/1540"	"160/10899"	6.41770800920461e-06	0.000403780795579123	0.000326796447310813	"RPA2/PSMB2/ORC1/MCM6/ORC4/PSMD14/PSMD1/UBE2E1/PSMD6/KPNA1/MCM2/H2BC4/H2AC6/H2BC5/H3C8/H4C8/H2BC11/H2BC12/H3C10/MCM3/PSMB1/PSMA2/MCM7/POLA1/MCM4/CDC26/PSMD5/PSMB7/PSMD13/PSMA1/H2AX/UBE2D1/H2AJ/PRIM1/UBC/PSMA4/ORC6/PSMD7/PSMD11/PSMD3/CDC6/PSMC5/PSMD12/PSMD8"	44
"R-HSA-983705"	"R-HSA-983705"	"Signaling by the B Cell Receptor (BCR)"	"34/1540"	"112/10899"	7.15691716553173e-06	0.000432277796798117	0.000349860245439256	"PIK3CD/PSMB2/RASGRP3/PPP3R1/PSMD14/PSMD1/PSMD6/TRPC1/PIK3R1/FYN/PSMB1/PSMA2/LYN/PSMD5/PSMB7/PSMD13/STIM1/PSMA1/BTRC/KRAS/ITPR2/ORAI1/UBC/NFKBIA/PSMA4/PSMD7/PSMD11/PSMD3/PSMC5/PSMD12/GRB2/MALT1/PSMD8/NFKBIB"	34
"R-HSA-69656"	"R-HSA-69656"	"Cyclin A:Cdk2-associated events at S phase entry"	"28/1540"	"85/10899"	8.21445626214681e-06	0.000477070344455449	0.000386112701228844	"RBBP4/PSMB2/PSMD14/PSMD1/CDC25A/PSMD6/TFDP2/SKP2/CCNH/CDKN1A/PSMB1/PSMA2/CCNE2/PSMD5/PSMB7/PSMD13/PSMA1/UBC/TFDP1/PSMA4/PSMD7/PSMD11/PSMD3/PSMC5/PSMD12/E2F1/CCNE1/PSMD8"	28
"R-HSA-199992"	"R-HSA-199992"	"trans-Golgi Network Vesicle Budding"	"25/1540"	"72/10899"	8.74271848391862e-06	0.000488944626322856	0.000395723047166843	"DNAJC6/ACBD3/ARF1/TGOLN2/AP1S3/GOLGB1/GAK/BLOC1S4/SNX9/IGF2R/AP1S1/YIPF6/OCRL/VAMP7/TPD52/PIK3C2A/FTH1/NECAP1/M6PR/BLOC1S6/AP4E1/AP1G1/CPD/DNM2/FTL"	25
"R-HSA-8876198"	"R-HSA-8876198"	"RAB GEFs exchange GTP for GDP on RABs"	"29/1540"	"90/10899"	9.27667935202273e-06	0.000500278065055511	0.000404895666454827	"RAB7B/RAB1A/RAB5A/DENND6A/RAB7A/RAB32/RAB9A/TRAPPC2/CHM/GDI1/RAB39B/DENND3/DENND4C/GAPVD1/DENND5A/MADD/RAB1B/RAB6A/RAB38/RAB18/DENND5B/RAB3IP/RAB21/MON1B/RAB12/RAB31/TRAPPC8/RINL/TRAPPC10"	29
"R-HSA-187577"	"R-HSA-187577"	"SCF(Skp2)-mediated degradation of p27/p21"	"22/1540"	"60/10899"	1.10886130080926e-05	0.000577372608352407	0.000467291459252105	"PSMB2/PSMD14/PSMD1/PSMD6/SKP2/CDKN1A/PSMB1/PSMA2/CCNE2/PSMD5/PSMB7/PSMD13/PSMA1/UBC/PSMA4/PSMD7/PSMD11/PSMD3/PSMC5/PSMD12/CCNE1/PSMD8"	22
"R-HSA-9007101"	"R-HSA-9007101"	"Rab regulation of trafficking"	"36/1540"	"124/10899"	1.19014821369172e-05	0.000582818584528967	0.00047169911233052	"RAB7B/RAB1A/RAB5A/DENND6A/RAB7A/TBC1D14/RAB32/RAB9A/TRAPPC2/CHM/GDI1/RAB39B/DENND3/DENND4C/GAPVD1/DENND5A/MADD/RAB1B/RAB6A/RAB38/OPTN/RAB18/DENND5B/RAB3IP/RAB21/TBC1D15/GGA2/GABARAPL2/MON1B/MAP1LC3B/RAB12/RAB31/TRAPPC8/RAB11B/RINL/TRAPPC10"	36
"R-HSA-9013694"	"R-HSA-9013694"	"Signaling by NOTCH4"	"27/1540"	"82/10899"	1.19651497486079e-05	0.000582818584528967	0.00047169911233052	"PSMB2/PSMD14/PSMD1/KAT2B/PSMD6/HES1/TACC3/MAML3/NOTCH4/PSMB1/PSMA2/MAMLD1/HEY1/YWHAZ/PSMD5/PSMB7/PSMD13/PSMA1/UBC/APH1B/PSMA4/PSMD7/PSMD11/PSMD3/PSMC5/PSMD12/PSMD8"	27
"R-HSA-9659787"	"R-HSA-9659787"	"Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects"	"10/1540"	"17/10899"	2.31956301359727e-05	0.00106137580319148	0.000859015202164729	"E2F2/TFDP2/E2F3/CDKN1A/CCND3/CDK6/CCNE2/TFDP1/E2F1/CCNE1"	10
"R-HSA-9661069"	"R-HSA-9661069"	"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)"	"10/1540"	"17/10899"	2.31956301359727e-05	0.00106137580319148	0.000859015202164729	"E2F2/TFDP2/E2F3/CDKN1A/CCND3/CDK6/CCNE2/TFDP1/E2F1/CCNE1"	10
"R-HSA-162906"	"R-HSA-162906"	"HIV Infection"	"56/1540"	"231/10899"	2.42601748322705e-05	0.00107128663053841	0.000867036443398465	"PSMB2/TAF13/ARF1/PSMD14/AP1S3/PSMD1/PDCD6IP/PSMD6/CHMP2B/KPNA1/NUP155/TAF9/CCNH/TAF7/FYN/VTA1/PSMB1/ELMO1/PSMA2/AP1S1/NUP205/VPS37A/CHMP7/GTF2E2/ATP6V1H/ELOC/POLR2K/PSIP1/CHMP5/UBAP1/PSMD5/PSMB7/NUP188/PSMD13/PSMA1/GTF2H1/TSG101/BTRC/CCNT1/UBC/NUP58/LIG4/PSMA4/FURIN/POLR2C/AP1G1/PSMD7/PSMD11/PSMD3/NMT1/PSMC5/PSMD12/SEH1L/NEDD4L/VPS4B/PSMD8"	56
"R-HSA-983169"	"R-HSA-983169"	"Class I MHC mediated antigen processing & presentation"	"83/1540"	"381/10899"	2.48311470654599e-05	0.00107128663053841	0.000867036443398465	"UBE2J2/VAMP3/UBR4/RNF19B/PSMB2/CTSS/S100A9/PSMD14/RNF25/PSMD1/ASB1/VHL/ATG7/UBE2E2/UBE2E1/ARIH2/DCAF1/PSMD6/KBTBD8/RNF4/FBXL5/TLR1/KLHL5/HERC6/HERC5/KLHL2/FBXL7/SKP2/LNPEP/TRIM36/UBE2B/CANX/TRIM41/RNF144B/HLA-E/FBXL4/HACE1/PRKN/PSMB1/ZNRF2/PSMA2/SMURF1/UBE3C/UBE2A/BCAP31/LONRF1/UBE2V2/UBE2W/ELOC/LY96/WWP1/RNF19A/CDC26/TLR4/PSMD5/PSMB7/ASB6/PSMD13/PSMA1/UBE2D1/BTRC/UBE2N/UBC/RNF6/UBR1/PSMA4/BTBD1/KLHL25/ASB7/PSMD7/ZNRF1/CYBA/UBE2G1/PSMD11/PSMD3/TRIM37/PSMC5/PSMD12/SOCS3/NEDD4L/PSMD8/FBXO27/UBE2M"	83
"R-HSA-351202"	"R-HSA-351202"	"Metabolism of polyamines"	"21/1540"	"59/10899"	2.94786572650431e-05	0.00117138874921619	0.000948053215643076	"PSMB2/ODC1/PSMD14/PSMD1/PSMD6/PSMB1/PSMA2/SAT1/PSMD5/PSMB7/PSMD13/PSMA1/PSMA4/PSMD7/PSMD11/PSMD3/PSMC5/PSMD12/SMOX/OAZ1/PSMD8"	21
"R-HSA-5387390"	"R-HSA-5387390"	"Hh mutants abrogate ligand secretion"	"21/1540"	"59/10899"	2.94786572650431e-05	0.00117138874921619	0.000948053215643076	"PSMB2/HHAT/PSMD14/PSMD1/PSMD6/PSMB1/PSMA2/VCP/PSMD5/PSMB7/PSMD13/PSMA1/SYVN1/UBC/PSMA4/PSMD7/PSMD11/PSMD3/PSMC5/PSMD12/PSMD8"	21
"R-HSA-5676590"	"R-HSA-5676590"	"NIK-->noncanonical NF-kB signaling"	"21/1540"	"59/10899"	2.94786572650431e-05	0.00117138874921619	0.000948053215643076	"PSMB2/PSMD14/PSMD1/PSMD6/PSMB1/PSMA2/PSMD5/PSMB7/PSMD13/PSMA1/BTRC/NFKB2/UBC/PSMA4/PSMD7/PSMD11/PSMD3/PSMC5/PSMD12/PSMD8/UBE2M"	21
"R-HSA-8941858"	"R-HSA-8941858"	"Regulation of RUNX3 expression and activity"	"20/1540"	"55/10899"	3.17665085879813e-05	0.00121300461414888	0.000981734651116662	"PSMB2/PSMD14/PSMD1/PSMD6/PSMB1/PSMA2/SMURF1/PSMD5/PSMB7/PSMD13/PSMA1/MDM2/UBC/PSMA4/PSMD7/PSMD11/PSMD3/PSMC5/PSMD12/PSMD8"	20
"R-HSA-69615"	"R-HSA-69615"	"G1/S DNA Damage Checkpoints"	"23/1540"	"68/10899"	3.21325725602353e-05	0.00121300461414888	0.000981734651116662	"PSMB2/PSMD14/PSMD1/CDC25A/PSMD6/CDKN1A/PSMB1/PSMA2/CCNE2/PSMD5/PSMB7/PSMD13/PSMA1/MDM2/UBC/PSMA4/PSMD7/PSMD11/PSMD3/PSMC5/PSMD12/CCNE1/PSMD8"	23
"R-HSA-350562"	"R-HSA-350562"	"Regulation of ornithine decarboxylase (ODC)"	"19/1540"	"51/10899"	3.37113062546127e-05	0.00124156274254793	0.00100484792199244	"PSMB2/ODC1/PSMD14/PSMD1/PSMD6/PSMB1/PSMA2/PSMD5/PSMB7/PSMD13/PSMA1/PSMA4/PSMD7/PSMD11/PSMD3/PSMC5/PSMD12/OAZ1/PSMD8"	19
"R-HSA-8878159"	"R-HSA-8878159"	"Transcriptional regulation by RUNX3"	"29/1540"	"96/10899"	3.65909722547317e-05	0.00130156540160556	0.00105341054811018	"PSMB2/PSMD14/PSMD1/KAT2B/PSMD6/HES1/LEF1/MAML3/CDKN1A/PSMB1/PSMA2/SMURF1/MAMLD1/PSMD5/PSMB7/PSMD13/PSMA1/YAP1/KRAS/MDM2/UBC/PSMA4/PSMD7/PSMD11/PSMD3/PSMC5/PSMD12/PSMD8/TEAD2"	29
"R-HSA-69017"	"R-HSA-69017"	"CDK-mediated phosphorylation and removal of Cdc6"	"24/1540"	"73/10899"	3.70644452112841e-05	0.00130156540160556	0.00105341054811018	"PSMB2/PSMD14/PSMD1/UBE2E1/PSMD6/PSMB1/PSMA2/CCNE2/CDC26/PSMD5/PSMB7/PSMD13/PSMA1/UBE2D1/UBC/PSMA4/PSMD7/PSMD11/PSMD3/CDC6/PSMC5/PSMD12/CCNE1/PSMD8"	24
"R-HSA-5607761"	"R-HSA-5607761"	"Dectin-1 mediated noncanonical NF-kB signaling"	"21/1540"	"60/10899"	3.93809887880166e-05	0.00133615780307491	0.00108140760499824	"PSMB2/PSMD14/PSMD1/PSMD6/PSMB1/PSMA2/PSMD5/PSMB7/PSMD13/PSMA1/BTRC/NFKB2/UBC/PSMA4/PSMD7/PSMD11/PSMD3/PSMC5/PSMD12/PSMD8/UBE2M"	21
"R-HSA-9612973"	"R-HSA-9612973"	"Autophagy"	"40/1540"	"151/10899"	4.26760170198035e-05	0.00133615780307491	0.00108140760499824	"PINK1/RRAGC/EPAS1/ATG7/DYNC1LI1/CHMP2B/ARL13B/ATG3/PRKAA1/SLC38A9/ATG12/SQSTM1/RRAGD/ATG5/PRKN/WIPI2/TOMM7/DYNC1I1/PRKAG2/WDR45/VPS37A/CHMP7/RB1CC1/HSF1/UBAP1/VCP/TSG101/AMBRA1/ATG13/UVRAG/GABARAPL1/UBE2N/UBC/CSNK2A2/DYNC1LI2/GABARAPL2/MAP1LC3B/NBR1/DYNLL2/WIPI1"	40
"R-HSA-5362768"	"R-HSA-5362768"	"Hh mutants are degraded by ERAD"	"20/1540"	"56/10899"	4.2921291075952e-05	0.00133615780307491	0.00108140760499824	"PSMB2/PSMD14/PSMD1/PSMD6/PSMB1/PSMA2/VCP/PSMD5/PSMB7/PSMD13/PSMA1/SYVN1/UBC/PSMA4/PSMD7/PSMD11/PSMD3/PSMC5/PSMD12/PSMD8"	20
