""	"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0000502"	"CC"	"GO:0000502"	"proteasome complex"	"37/4763"	"59/19869"	2.74412903410025e-10	3.04598322785127e-08	2.33973107118021e-08	"5690/5710/5692/10213/5707/9861/5696/5698/5689/90637/5683/3315/9690/7415/29979/5711/5695/5719/5682/5693/5720/5721/5706/5684/197131/5685/5713/5717/5691/5709/5705/5718/9352/9491/11047/5886/5714"	37
"GO:0001503"	"BP"	"GO:0001503"	"ossification"	"161/4576"	"429/18903"	3.55740954207064e-10	4.21948986516524e-07	3.31979994783748e-07	"56998/9249/1969/10269/79639/126820/6272/1435/1893/1513/7286/103/7059/4209/4921/5087/51430/1660/5743/3192/130497/51374/51232/6546/2274/2736/7130/1290/4664/23314/659/3488/5468/8994/1230/5364/7474/285313/6474/344901/202018/3516/5978/6696/658/5530/166929/51176/2247/6423/56172/81792/202151/5734/3572/1462/4208/84059/4015/2201/1836/2296/654/3400/7124/1192/1432/55603/5167/56975/3569/2737/3486/1956/51119/3082/1021/1278/1749/5764/50617/55787/54880/91851/27316/649/6781/1052/6591/4325/115908/8840/5747/4882/26578/5727/55151/8519/3611/55366/90993/4192/2101/10413/25805/22943/1959/5552/1305/9562/7421/7480/2735/490/338773/3183/4323/5587/10979/3091/79697/7043/207/26585/22801/8482/11173/645811/64131/4313/51741/2303/6348/4077/1277/10140/9902/8313/6662/2194/8792/596/650/182/6238/58476/8200/23051/1051/655/22904/5566/3727/7040/54795/6320/91355/83999/10766/861/1291"	161
"GO:0010975"	"BP"	"GO:0010975"	"regulation of neuron projection development"	"166/4576"	"446/18903"	3.92998124666119e-10	4.21948986516524e-07	3.31979994783748e-07	"2048/84879/5792/4919/22854/5906/9860/29956/10500/6280/23557/80128/64218/5396/26052/27/5997/23271/8934/5362/4139/183/238/55704/10505/54910/3655/1123/8837/659/2335/23363/2043/25791/129807/8536/54986/5364/7869/7474/5793/6091/2042/5361/23129/6474/5274/23043/3280/2580/952/9353/950/6696/2895/10611/5530/6423/9693/55714/9037/1601/7025/1946/57556/6695/1809/81545/9856/8831/5754/5454/2534/10090/54664/23072/3984/3082/10371/57154/221914/4897/5764/1020/100528062/5365/3897/2316/2664/157285/4067/9760/27067/6383/23189/5789/9314/1902/153090/3309/23413/23258/4192/349667/10938/4135/9638/7431/22943/22891/818/118813/57698/2288/65981/120892/23011/26259/6049/23111/23077/8428/1948/4776/5587/382/51199/26037/9529/207/567/80031/56965/8482/5780/10509/79006/112755/10300/1398/5176/5048/9423/5376/51393/162427/4137/3675/26115/1000/1630/23327/9762/655/54915/10501/5802/10498/23373/348/2909/1399/83999/27124/23654/7074"	166
"GO:0030133"	"CC"	"GO:0030133"	"transport vesicle"	"156/4763"	"423/19869"	1.37368350350848e-09	1.33419010278261e-07	1.02484019274909e-07	"127262/9341/23095/23673/7805/553115/5538/54432/5142/6272/388662/9554/9900/11311/51107/6700/23557/5872/1314/23385/8674/10228/1604/149111/5664/163882/90411/5861/7039/10618/54910/26154/5798/130340/56947/4735/3708/9922/5868/523/7879/9276/4311/27333/53834/7466/2555/22872/10427/55435/9871/1363/64924/5122/5066/23176/1809/972/1212/3134/3105/3133/3107/3106/3127/3123/3117/3113/3115/26503/57221/8676/134957/94120/3482/273/261729/10282/1174/83992/155066/5799/1183/9367/94122/6853/538/94121/23157/6845/528/90865/10497/6836/57586/6809/9066/81876/5870/4135/54843/23621/4900/56681/143187/4074/80763/10059/120892/9498/22818/117177/9182/490/8906/10484/114088/376267/10972/11161/85439/9321/9950/11261/567/26258/23312/29106/83464/192683/5045/55784/9143/527/79641/112476/1731/112755/6645/164/84937/9501/51226/201294/9144/201475/80023/10483/79953/5802/9230/10567/529/8218/162/11015"	156
"GO:1905369"	"CC"	"GO:1905369"	"endopeptidase complex"	"45/4763"	"82/19869"	1.69799516028776e-09	1.4659358217151e-07	1.12603889576978e-07	"8547/5690/10026/5710/5692/824/10213/5707/9861/5696/5698/5689/90637/5683/3315/9690/7415/29979/5711/5695/5719/5682/8738/5693/5720/5721/5706/5684/197131/5685/5713/94005/5717/5691/5709/5705/5718/9352/9491/7056/128869/11047/5886/5714/5329"	45
"GO:0042060"	"BP"	"GO:0042060"	"wound healing"	"162/4576"	"442/18903"	2.32021958488117e-09	1.94226144034203e-06	1.52812772026453e-06	"2048/5051/8613/6814/389/4853/6281/375033/50848/7391/4921/5321/1465/11009/6868/6382/7039/2677/3552/2191/8837/2335/5270/55207/5468/5894/7048/7474/25978/5627/131566/90102/4638/5291/5359/5028/5912/11235/5290/1609/55330/10855/5530/308/2247/836/3572/100506658/2149/2150/4015/1839/2246/5159/309/2162/7124/1192/4855/1432/1026/5754/22875/667/135228/7128/5154/3569/358/2737/3315/7980/5054/857/7076/94121/2316/65991/91782/3084/5327/4067/10565/8840/5747/5339/23189/90865/51510/301/2776/7046/54566/7099/6812/1289/10077/6609/3611/11234/960/9066/5547/10413/4321/4162/84959/653145/5592/9060/59/26509/81029/79602/928/3678/1606/2004/160851/2159/84962/10979/3091/7043/5265/7301/26258/302/7168/51330/18/79001/146206/170692/2303/1398/60681/3690/1277/8526/5578/114897/84034/57132/9525/5055/55612/7056/10398/6431/2778/1265/6915/558/7040/5329/348/2828/2909/3053/89781/4627"	162
"GO:0016241"	"BP"	"GO:0016241"	"regulation of macroautophagy"	"73/4576"	"160/18903"	2.41199806313819e-09	1.94226144034203e-06	1.52812772026453e-06	"65018/83667/533/5563/57535/2773/9554/2629/56893/149371/79443/523/55254/5290/3064/7345/836/291/112574/9140/7416/8992/10919/9474/25851/155066/1020/10013/11152/29978/665/51606/245972/8767/528/340371/203228/29979/10558/90678/26086/55626/7405/143686/5049/9638/10133/51322/5599/9559/9531/664/120892/1634/84749/10206/23256/58533/22863/3091/9517/207/84219/527/23274/7157/140775/10241/55062/4864/27131/5566/529"	73
"GO:0016032"	"BP"	"GO:0016032"	"viral process"	"154/4576"	"421/18903"	6.70033800004719e-09	4.79595304403378e-06	3.77334824213184e-06	"8764/1969/8547/3065/55223/80149/3725/5586/10542/7812/9869/103/3428/50848/7391/9213/6041/1660/2494/1604/5629/5610/5861/1803/55207/10015/201626/25978/55254/3693/7879/339122/5359/185/286827/131578/1487/5978/3576/950/51176/205860/339976/4124/9140/1436/972/10318/821/11282/4245/7124/3123/6732/9474/51534/6993/3482/5071/1956/222256/857/9189/2332/3054/1508/137492/91782/11059/6482/4061/51510/7415/5125/9830/2040/90678/11253/10581/8519/10410/117854/85363/10346/6609/440026/7251/63901/6520/81876/5091/219931/7405/4684/5818/25833/9712/81603/8661/1488/55196/904/3678/8091/6404/4940/54737/3356/10206/1948/3981/4247/2530/22938/8812/10572/440275/57617/7301/290/5045/4261/9683/6483/22879/7157/6347/6348/6351/3690/10241/57132/4864/596/9525/6317/55741/682/3643/55337/6597/5886/684/7538/558/5817/348/6598/22880/3956/9582/27350/60489/104"	154
"GO:0098791"	"CC"	"GO:0098791"	"Golgi apparatus subcompartment"	"142/4763"	"387/19869"	1.08531135557768e-08	7.85934191356968e-07	6.03704784257131e-07	"9341/54432/8613/79971/57535/6272/653519/51107/55204/5872/57198/2629/10067/84283/8703/8674/27252/10228/23057/8934/338382/163882/10618/9648/4430/57574/79586/130340/64090/55773/2804/339122/27032/4311/27333/51056/55300/10396/64083/64924/5122/5066/4124/7045/81555/972/1212/11282/63971/3105/3127/3123/3117/3113/3115/57531/10981/51429/3482/2852/54103/10282/9179/1174/8985/415/9367/84679/286451/538/4952/286410/10134/2316/6845/55790/10565/157769/6482/83696/5125/56623/23258/5286/8534/738/116985/5870/23682/9159/23621/9712/10133/221079/55454/259230/170384/3363/55361/23268/143187/4074/120892/92979/51643/8549/23011/400/23250/5587/23256/11154/122553/4247/51062/2530/9950/25963/79895/23431/10066/192683/5045/64131/23062/6483/164/3996/10040/55062/11031/10079/54760/113178/56927/1785/8218/162/26088/25776/9980/25825"	142
"GO:0005769"	"CC"	"GO:0005769"	"early endosome"	"150/4763"	"414/19869"	1.11264814735221e-08	7.85934191356968e-07	6.03704784257131e-07	"9341/26119/23673/3633/79971/6272/5906/51107/81609/23623/23385/9910/10228/8934/5664/9784/30845/129285/150684/5861/54520/10254/4430/66008/2043/130340/57590/92737/23180/5868/54918/2042/2047/84343/4311/23355/79572/4241/3064/57537/55300/323/55435/287/2149/2150/4012/115123/9856/3077/3134/3105/3133/10211/3107/3106/10981/3482/2852/29886/23161/10457/1956/261729/219285/22853/9179/1174/222236/857/1183/538/1730/4952/93380/286410/23516/10947/100533105/64089/245972/55353/6505/301/7099/57720/10807/10410/56674/11234/7251/10938/7405/23682/23621/8027/22943/9559/26985/55361/10935/4891/4035/23011/23074/55198/51699/23250/58533/382/63894/79890/123606/81614/54551/57617/567/9101/4644/302/5371/8120/645811/9516/23062/79874/3038/164/9100/3996/4642/8639/114804/11031/27131/79953/90203/10079/56937/57403/8612/10347/8943/6455/80700/23646/348/162/26088/9980"	150
"GO:0010977"	"BP"	"GO:0010977"	"negative regulation of neuron projection development"	"65/4576"	"142/18903"	1.51430399507444e-08	9.75514633626954e-06	7.67513024871939e-06	"2048/9860/29956/10500/23557/80128/64218/26052/8934/10505/54910/2043/25791/129807/7869/7474/5793/3280/2580/952/9353/6696/9037/1601/7025/57556/6695/1809/9856/8831/10371/1020/2316/2664/157285/23189/1902/23258/349667/7431/22943/22891/2288/120892/6049/23111/1948/382/9529/567/80031/8482/5780/10509/112755/5048/9423/5376/1630/10501/5802/10498/348/83999/27124"	65
"GO:0032432"	"CC"	"GO:0032432"	"actin filament bundle"	"42/4763"	"79/19869"	2.05135382609421e-08	1.328251602396e-06	1.02027861350475e-06	"54751/2275/4919/7170/2317/4638/5357/4026/22998/55752/10611/171024/23022/27295/11346/79778/6624/7205/7791/57477/5358/2316/64236/5747/3611/1410/11155/59/9124/3983/9531/3936/10979/87/7168/29109/1535/10398/1265/23094/10634/4627"	42
"GO:0031345"	"BP"	"GO:0031345"	"negative regulation of cell projection organization"	"82/4576"	"194/18903"	2.06916179384177e-08	1.21177638872079e-05	9.53398472473503e-06	"832/2048/9860/29956/10500/23557/80128/64218/26052/8934/10505/54910/2043/25791/129807/7869/7474/5793/79598/3280/2580/952/9353/6696/5530/9693/9037/1601/7025/57556/6695/1809/9856/8831/2534/10371/1020/5365/2316/2664/10251/157285/23189/347240/1902/23258/349667/10413/7431/22943/22891/2288/120892/23329/117177/6049/23111/1948/4776/382/51466/9529/567/80031/8482/5780/10509/9738/112755/5048/9423/5376/3675/1630/10501/5802/115704/1785/10498/348/83999/27124"	82
"GO:0031252"	"CC"	"GO:0031252"	"cell leading edge"	"150/4763"	"421/19869"	3.87521885248517e-08	2.23855381686135e-06	1.71951502290914e-06	"57449/1969/832/6548/8543/5586/3749/55917/51177/8394/117145/6282/6277/5872/10456/57147/10092/134/375/149371/6868/29959/55704/72/822/23550/1803/2191/7456/55845/5868/378/23150/90102/57514/4638/23129/26084/5290/9079/323/2555/11275/23022/57630/8470/2195/4651/100506658/5921/84059/324/4163/1495/64411/1809/56940/10211/23607/667/5796/51429/7430/2852/6624/273/1956/3984/1021/8976/5420/1020/10013/538/154796/2556/6845/66036/10395/23362/23189/89846/7099/56623/64787/3611/23075/55742/960/6809/7431/54518/10006/59/51196/3983/57698/59338/3678/117177/490/55785/55198/6249/221178/9107/10810/3936/8874/84962/382/10979/23224/9495/87/51466/9578/207/2567/54822/4644/83660/7168/1464/9051/146206/9780/10381/5048/4642/4137/3690/9368/1000/55612/27131/57468/57403/10347/10297/23396/3643/5141/1785/126432/11133/3748/91663/27124/4627"	150
"GO:0001725"	"CC"	"GO:0001725"	"stress fiber"	"38/4763"	"70/19869"	4.57450705799859e-08	2.23855381686135e-06	1.71951502290914e-06	"54751/2275/4919/7170/2317/4638/4026/22998/55752/10611/171024/23022/27295/11346/79778/6624/7205/7791/57477/64236/5747/3611/11155/59/9124/3983/9531/3936/10979/87/7168/29109/1535/10398/1265/23094/10634/4627"	38
"GO:0097517"	"CC"	"GO:0097517"	"contractile actin filament bundle"	"38/4763"	"70/19869"	4.57450705799859e-08	2.23855381686135e-06	1.71951502290914e-06	"54751/2275/4919/7170/2317/4638/4026/22998/55752/10611/171024/23022/27295/11346/79778/6624/7205/7791/57477/64236/5747/3611/11155/59/9124/3983/9531/3936/10979/87/7168/29109/1535/10398/1265/23094/10634/4627"	38
"GO:0042641"	"CC"	"GO:0042641"	"actomyosin"	"41/4763"	"78/19869"	4.60963462931552e-08	2.23855381686135e-06	1.71951502290914e-06	"54751/2275/4919/7170/8850/10015/2317/4638/4026/22998/55752/10611/171024/23022/27295/11346/79778/6624/7205/7791/57477/64236/5747/3611/11155/59/9124/3983/9531/3936/10979/87/9578/7168/29109/1535/10398/1265/23094/10634/4627"	41
"GO:0019058"	"BP"	"GO:0019058"	"viral life cycle"	"120/4576"	"319/18903"	5.23181590478955e-08	2.64917557106914e-05	2.08431189638686e-05	"8764/1969/8547/55223/80149/5586/10542/9869/103/3428/50848/9213/6041/2494/1604/5629/5610/5861/1803/55207/10015/201626/25978/55254/3693/7879/339122/5359/185/286827/131578/1487/3576/950/205860/339976/972/10318/7124/3123/6732/9474/51534/6993/5071/1956/222256/857/9189/2332/1508/137492/91782/11059/4061/51510/7415/5125/9830/2040/90678/10581/8519/10410/117854/85363/10346/6609/440026/7251/63901/6520/81876/5091/219931/7405/4684/5818/9712/81603/1488/55196/3678/8091/6404/4940/54737/3356/1948/8812/10572/440275/57617/7301/290/5045/4261/9683/6347/3690/57132/4864/596/9525/6317/682/3643/55337/5886/684/558/5817/348/6598/22880/3956/9582/27350/60489/104"	120
"GO:0048771"	"BP"	"GO:0048771"	"tissue remodeling"	"76/4576"	"179/18903"	5.34605439675549e-08	2.64917557106914e-05	2.08431189638686e-05	"1969/23154/3953/4853/1513/4921/51430/1999/183/7107/2034/3552/659/3488/5468/7879/952/3516/6696/5530/1909/2149/4208/1436/2296/9474/2697/7128/3569/10457/857/5764/7076/538/2316/55636/115908/1200/55366/4192/9066/56834/84959/3988/101/7421/4193/338773/4323/3091/7043/26585/1464/79705/645811/4313/8996/2303/54849/7157/10609/9842/3690/1636/5578/284266/8792/182/8200/54/558/7040/613/91355/3976/861"	76
"GO:0005770"	"CC"	"GO:0005770"	"late endosome"	"109/4763"	"288/19869"	8.71341181939797e-08	3.98254175510131e-06	3.05913591430257e-06	"114883/54432/57535/10542/5906/1520/28956/23057/127829/338382/149371/9741/55240/55686/55207/79443/57406/25978/114885/7879/11342/3592/5337/79572/3064/950/55435/9693/201931/153129/2149/1393/972/309/8878/3127/3123/3108/51534/3482/5575/54664/1956/1183/9367/10013/538/79589/3920/6845/137492/23516/91782/7274/64089/55529/55353/6505/51510/1317/10581/10410/7251/220002/91056/219931/7405/23621/653145/143187/404636/4074/120892/4891/88455/51699/7178/63894/57617/7782/84888/4644/302/9399/21/23274/9516/1783/22879/83547/4077/9842/23531/5573/201294/57132/29919/4864/114876/23327/9525/57403/126321/80700/3643/684/23646/8218/3454"	109
"GO:0030670"	"CC"	"GO:0030670"	"phagocytic vesicle membrane"	"40/4763"	"77/19869"	1.02445482013027e-07	4.42222997356232e-06	3.39687650885299e-06	"9341/3633/533/9554/338382/5868/7879/339122/7096/9140/8992/3134/3105/3133/3107/3106/9474/10981/50617/155066/9367/538/3920/4952/6845/245972/55529/9066/23682/1755/55198/55647/567/527/1535/83547/11031/57403/9230/1785"	40
"GO:0030198"	"BP"	"GO:0030198"	"extracellular matrix organization"	"118/4576"	"318/18903"	1.58351577235485e-07	7.28643471822141e-05	5.73280334126964e-05	"64856/1307/22854/1520/1513/57326/8751/9507/25903/4921/3915/83872/1999/2331/3914/183/149371/84695/1803/2191/1290/8837/3913/56999/1295/25890/90102/151887/256076/4241/64116/6423/81792/4015/7045/2296/10211/7124/1303/1300/3908/6624/3569/2006/1278/8985/3912/857/10049/538/1288/649/4017/4325/4147/3037/169044/92949/1515/7046/55151/85301/169611/2022/10585/1289/51144/90993/30008/871/4319/4312/4314/4321/23187/1305/140766/4791/1308/101/4035/3936/1284/4323/22795/30001/63894/23768/10516/26585/302/79875/4016/11173/5045/4313/146206/3038/342371/170692/2294/2303/4239/10609/60681/3690/1277/6662/55612/650/50509/79709/7040/3036/4320/9510/11096/861"	118
